week,cases,deaths,icu,stringencyIndex
2020-01-20,0.0,0.0,,
2020-01-27,0.0,0.0,,
2020-02-03,0.0,0.0,,
2020-02-10,0.0,0.0,,
2020-02-17,0.0,0.0,,
2020-02-24,7.0,0.0,,
2020-03-02,66.0,0.0,,
2020-03-09,258.0,4.0,4.25,
2020-03-16,293.0,11.0,17.285714285714285,
2020-03-23,532.0,23.0,56.285714285714285,
2020-03-30,579.0,35.0,87.71428571428571,
2020-04-06,346.0,20.0,81.57142857142857,
2020-04-13,164.0,23.0,70.42857142857143,
2020-04-20,272.0,18.0,52.57142857142857,
2020-04-27,109.0,10.0,38.857142857142854,
2020-05-04,90.0,7.0,32.714285714285715,
2020-05-11,118.0,12.0,26.285714285714285,
2020-05-18,44.0,8.0,21.0,
2020-05-25,39.0,4.0,16.0,
2020-06-01,132.0,7.0,10.0,
2020-06-08,72.0,1.0,12.285714285714286,
2020-06-15,145.0,7.0,10.714285714285714,
2020-06-22,110.0,1.0,9.285714285714286,
2020-06-29,143.0,1.0,9.571428571428571,
2020-07-06,284.0,1.0,9.571428571428571,
2020-07-13,204.0,1.0,12.714285714285714,
2020-07-20,186.0,8.0,9.571428571428571,
2020-07-27,469.0,6.0,9.0,
2020-08-03,961.0,4.0,15.142857142857142,
2020-08-10,1452.0,16.0,23.571428571428573,
2020-08-17,1589.0,14.0,28.0,
2020-08-24,1470.0,20.0,33.714285714285715,
2020-08-31,1390.0,22.0,38.57142857142857,
2020-09-07,1716.0,21.0,48.285714285714285,
2020-09-14,1902.0,33.0,68.0,
2020-09-21,2302.0,41.0,70.85714285714286,
2020-09-28,2398.0,30.0,80.71428571428571,
2020-10-05,2516.0,40.0,91.42857142857143,
2020-10-12,3012.0,60.0,85.14285714285714,
2020-10-19,5412.0,65.0,87.42857142857143,
2020-10-26,10147.0,61.0,117.42857142857143,
2020-11-02,15769.0,149.0,188.42857142857142,
2020-11-09,17507.0,322.0,314.7142857142857,
2020-11-16,17414.0,524.0,486.14285714285717,
2020-11-23,12608.0,691.0,590.2857142857143,
2020-11-30,11244.0,682.0,605.2857142857143,
2020-12-07,9063.0,622.0,577.1428571428571,
2020-12-14,6538.0,547.0,539.7142857142857,
2020-12-21,4384.0,434.0,482.7142857142857,
2020-12-28,4643.0,351.0,441.0,84.26
2021-01-04,4639.0,306.0,386.14285714285717,84.26
2021-01-11,3869.0,206.0,331.0,80.56000000000002
2021-01-18,3373.0,177.0,300.42857142857144,80.56000000000002
2021-01-25,4977.0,150.0,269.0,80.56000000000002
2021-02-01,6989.0,176.0,249.14285714285714,81.48
2021-02-08,8182.0,154.0,287.42857142857144,81.48
2021-02-15,7674.0,171.0,316.7142857142857,79.62857142857142
2021-02-22,11298.0,207.0,366.85714285714283,81.75
2021-03-01,14020.0,254.0,439.57142857142856,88.89
2021-03-08,16027.0,333.0,510.85714285714283,88.89
2021-03-15,15978.0,371.0,634.1428571428571,88.22571428571428
2021-03-22,16906.0,418.0,707.8571428571429,87.96
2021-03-29,21383.0,500.0,747.1428571428571,87.96
2021-04-05,20066.0,505.0,769.4285714285714,87.96
2021-04-12,19793.0,577.0,816.1428571428571,87.96
2021-04-19,17856.0,545.0,825.5714285714286,78.43999999999998
2021-04-26,13293.0,446.0,810.0,71.3
2021-05-03,15582.0,576.0,759.0,71.3
2021-05-10,15086.0,386.0,692.5714285714286,71.3
2021-05-17,12714.0,357.0,618.0,58.59714285714285
2021-05-24,11497.0,282.0,533.4285714285714,61.24571428571428
2021-05-31,8067.0,223.0,454.85714285714283,62.04
2021-06-07,5565.0,145.0,374.7142857142857,47.75142857142857
2021-06-14,3409.0,126.0,321.57142857142856,45.37
2021-06-21,2563.0,116.0,256.42857142857144,45.37
2021-06-28,5059.0,73.0,192.0,41.67
2021-07-05,12845.0,55.0,154.0,52.38428571428572
2021-07-12,18503.0,58.0,129.85714285714286,57.34142857142857
2021-07-19,18607.0,48.0,127.42857142857143,65.01
2021-07-26,18988.0,77.0,157.57142857142858,66.2
2021-08-02,19285.0,100.0,193.71428571428572,70.9657142857143
2021-08-09,22933.0,148.0,229.14285714285714,76.51714285714286
2021-08-16,22061.0,161.0,286.7142857142857,77.31000000000002
2021-08-23,22129.0,252.0,331.0,78.90428571428572
2021-08-30,18636.0,250.0,359.42857142857144,79.17
2021-09-06,15206.0,283.0,381.7142857142857,79.17
2021-09-13,15627.0,297.0,359.85714285714283,77.58142857142857
2021-09-20,15185.0,213.0,334.2857142857143,73.61
2021-09-27,15339.0,241.0,326.7142857142857,73.61
2021-10-04,15491.0,215.0,336.57142857142856,73.61
2021-10-11,17087.0,240.0,349.0,73.61
2021-10-18,22472.0,253.0,352.42857142857144,73.61
2021-10-25,25812.0,310.0,389.85714285714283,73.61
2021-11-01,42734.0,357.0,445.0,73.61
2021-11-08,46970.0,471.0,504.14285714285717,73.61
2021-11-15,47046.0,547.0,567.7142857142857,73.61
2021-11-22,45586.0,646.0,622.2857142857143,73.61
2021-11-29,41715.0,636.0,688.7142857142857,77.58142857142857
