"party","value","num_ads","total_spend_pct","type","location_type","is_exclusion","detailed_type","total_num_ads","total_spend_formatted","custom_audience_type"
"Αχτσιόγλου","All",1,1,"gender",NA,NA,NA,1,"≤€100",NA
"Αχτσιόγλου","Women",0,0,"gender",NA,NA,NA,1,"≤€100",NA
"Αχτσιόγλου","Men",0,0,"gender",NA,NA,NA,1,"≤€100",NA
"Αχτσιόγλου","Greece",1,1,"location","countries",FALSE,NA,1,"≤€100",NA
"Αχτσιόγλου","13",0,0,"age",NA,NA,NA,1,"≤€100",NA
"Αχτσιόγλου","14",0,0,"age",NA,NA,NA,1,"≤€100",NA
"Αχτσιόγλου","15",0,0,"age",NA,NA,NA,1,"≤€100",NA
"Αχτσιόγλου","16",0,0,"age",NA,NA,NA,1,"≤€100",NA
"Αχτσιόγλου","17",0,0,"age",NA,NA,NA,1,"≤€100",NA
"Αχτσιόγλου","18",1,1,"age",NA,NA,NA,1,"≤€100",NA
"Αχτσιόγλου","19",1,1,"age",NA,NA,NA,1,"≤€100",NA
"Αχτσιόγλου","20",1,1,"age",NA,NA,NA,1,"≤€100",NA
"Αχτσιόγλου","21",1,1,"age",NA,NA,NA,1,"≤€100",NA
"Αχτσιόγλου","22",1,1,"age",NA,NA,NA,1,"≤€100",NA
"Αχτσιόγλου","23",1,1,"age",NA,NA,NA,1,"≤€100",NA
"Αχτσιόγλου","24",1,1,"age",NA,NA,NA,1,"≤€100",NA
"Αχτσιόγλου","25",1,1,"age",NA,NA,NA,1,"≤€100",NA
"Αχτσιόγλου","26",1,1,"age",NA,NA,NA,1,"≤€100",NA
"Αχτσιόγλου","27",1,1,"age",NA,NA,NA,1,"≤€100",NA
"Αχτσιόγλου","28",1,1,"age",NA,NA,NA,1,"≤€100",NA
"Αχτσιόγλου","29",1,1,"age",NA,NA,NA,1,"≤€100",NA
"Αχτσιόγλου","30",1,1,"age",NA,NA,NA,1,"≤€100",NA
"Αχτσιόγλου","31",1,1,"age",NA,NA,NA,1,"≤€100",NA
"Αχτσιόγλου","32",1,1,"age",NA,NA,NA,1,"≤€100",NA
"Αχτσιόγλου","33",1,1,"age",NA,NA,NA,1,"≤€100",NA
"Αχτσιόγλου","34",1,1,"age",NA,NA,NA,1,"≤€100",NA
"Αχτσιόγλου","35",1,1,"age",NA,NA,NA,1,"≤€100",NA
"Αχτσιόγλου","36",1,1,"age",NA,NA,NA,1,"≤€100",NA
"Αχτσιόγλου","37",1,1,"age",NA,NA,NA,1,"≤€100",NA
